精美装修   采光很好  业主急售 带车位,锦华小区 _ 兴华南街,3室2厅 | 122.34平米 | 南 北 | 精装 | 7层  | 板楼,"VR看装修,房本满五年,随时看房,商业类",106万,单价8665元/平米
招商央企开发，朝南三房，精装修，满二有本，拎包入住,招商天地华府 _ 万客来,3室1厅 | 88.28平米 | 西南 | 精装 | 中楼层(共26层)  | 板塔结合,"VR看装修,房本满两年,随时看房,商业类",136万,单价15406元/平米
升龙国际 精装带家具家电 满五唯一大三居,升龙国际中心C区 _ 古玩城,3室1厅 | 135.71平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,"VR看装修,房本满五年,随时看房,商业类",239万,单价17612元/平米
金二环，地铁口，双气、配套成熟,升龙国际E区 _ 市财政局,2室2厅 | 107.11平米 | 东南 | 精装 | 低楼层(共34层)  | 板楼,"VR看装修,房本满五年,随时看房",177万,单价16526元/平米
5号线  满五唯一  拎包入住,中岳大厦 _ 老航院,2室1厅 | 79.05平米 | 南 | 简装 | 高楼层(共31层)  | 塔楼,"VR看装修,房本满五年,随时看房",85万,单价10753元/平米
鑫苑名城南苑业主包税通透大三房。,鑫苑名城南苑 _ 万客来,3室1厅 | 118.74平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",142万,单价11959元/平米
房子满五唯一 有房本可以随时过户，业主急售 看房联系,玉华园 _ 万客来,2室1厅 | 75.72平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,"VR看装修,房本满两年,随时看房,商业类",87万,单价11490元/平米
满五唯一；精装修；好楼层；有钥匙随时看房,招商天地华府 _ 万客来,3室2厅 | 88.34平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,"VR看装修,房本满两年,随时看房,商业类",133万,单价15056元/平米
大学路地铁口，经典通透小三房，采光充足，不邻高架,鑫苑鑫家一期 _ 万客来,3室2厅 | 88.56平米 | 西 | 简装 | 中楼层(共27层)  | 板楼,"VR看装修,房本满两年,随时看房",110万,单价12421元/平米
此房满五唯一，业主现在目前自住，上政通路,升龙国际B区 _ 市财政局,3室2厅 | 134.61平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,"近地铁,VR房源,房本满五年,随时看房",232万,单价17235元/平米
诚售！小户型 大落地窗 明厨明卫 满五唯一 有钥匙！,城市山水 _ 兴华南街,1室1厅 | 51.97平米 | 北 | 精装 | 高楼层(共28层)  | 板塔结合,"VR房源,房本满两年,随时看房,商业类",72万,单价13855元/平米
郑州大学西南生活区 三楼 两房 业主诚心出售,郑州大学西南生活区 _ 老郑大,2室1厅 | 56.4平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,"VR房源,房本满五年,随时看房,商业类",70.8万,单价12554元/平米
