城市|区域|户型|面积|楼层|朝向_东|朝向_北|朝向_南|朝向_西|装修_毛坯|装修_简装|装修_精装|板塔_塔楼|板塔_板塔结合|板塔_板楼|房价
郑州|二七区|3|92.09|7|0|0|1|0|0|1|0|0|0|1|100
郑州|二七区|6|122.34|7|0|0|1|0|0|0|1|0|0|1|106
郑州|二七区|5|118.74|33|0|0|1|0|1|0|0|1|0|0|142
郑州|二七区|6|88.34|27|0|0|1|0|0|0|1|0|0|1|133
郑州|二七区|5|88.28|26|0|0|1|0|0|0|1|0|1|0|136
郑州|二七区|5|135.71|31|0|0|1|0|0|0|1|1|0|0|239
郑州|二七区|6|91.28|24|0|0|1|0|0|0|1|1|0|0|137
郑州|二七区|1|45.29|22|0|0|1|0|0|1|0|0|0|1|39
郑州|二七区|3|89.57|20|0|0|1|0|0|1|0|0|0|1|1308
郑州|二七区|3|107.11|34|0|0|1|0|0|0|1|0|0|1|177
郑州|二七区|6|93.51|7|0|0|1|0|0|0|1|0|0|1|133
郑州|二七区|3|85.79|28|0|0|1|0|0|1|0|0|0|1|99
郑州|二七区|6|113.24|6|0|0|1|0|0|0|1|0|0|1|183
郑州|二七区|6|145.12|12|0|0|1|0|0|1|0|0|0|1|236
郑州|二七区|6|134.61|31|0|0|1|0|0|0|1|0|0|1|232
郑州|二七区|2|134.61|6|0|0|1|0|0|1|0|0|0|1|708
郑州|二七区|2|134.61|32|0|0|1|0|0|0|1|0|1|0|85
郑州|二七区|2|80.89|33|0|0|1|0|0|0|1|0|0|1|94
郑州|二七区|1|51.97|28|0|1|0|0|0|0|1|0|1|0|72
郑州|二七区|3|80.42|28|0|0|1|0|0|1|0|1|0|0|126
郑州|二七区|5|80.42|11|0|0|1|0|0|1|0|0|0|1|175
郑州|二七区|6|132.47|6|0|0|1|0|0|1|0|0|0|1|205
郑州|二七区|2|88.88|27|0|0|1|0|0|0|1|1|0|0|105
郑州|二七区|6|86.76|29|0|0|1|0|0|0|1|1|0|0|145
郑州|二七区|6|104.64|26|0|0|1|0|0|0|1|1|0|0|164
郑州|二七区|6|90.42|21|0|0|1|0|0|0|1|0|0|1|140
郑州|二七区|5|113.38|7|0|0|1|0|0|0|1|0|0|1|94
郑州|二七区|6|117.17|33|0|0|1|0|1|0|0|0|0|1|138
郑州|二七区|6|117.17|30|0|0|1|0|1|0|0|0|0|1|165
郑州|二七区|6|109.01|31|0|0|1|0|0|1|0|0|1|0|172
郑州|二七区|6|120.73|33|0|0|1|0|0|0|1|0|0|1|1535
郑州|二七区|2|88.49|34|0|0|1|0|0|1|0|0|0|1|104
郑州|二七区|6|88.96|27|0|0|1|0|0|1|0|1|0|0|128
郑州|二七区|6|121.32|6|0|0|1|0|0|0|1|0|0|1|131
郑州|二七区|5|74.08|7|0|0|1|0|0|1|0|0|0|1|87
郑州|二七区|2|56.54|5|0|0|1|0|0|1|0|0|0|1|49
郑州|二七区|3|92.83|6|0|0|1|0|0|0|1|0|0|1|133
郑州|二七区|6|129.19|34|0|0|1|0|1|0|0|0|0|1|148
郑州|二七区|6|90.44|32|0|0|1|0|0|0|1|0|1|0|128
郑州|二七区|5|115.05|31|0|0|1|0|0|0|1|1|0|0|184
郑州|二七区|6|80.32|6|0|0|1|0|0|0|1|0|0|1|80
郑州|二七区|6|115.19|6|0|0|1|0|0|0|1|0|0|1|137
郑州|二七区|2|59.28|33|0|1|0|0|0|1|0|0|0|1|102
郑州|二七区|2|78.57|27|0|0|1|0|1|0|0|0|1|0|100
郑州|二七区|6|146.22|17|0|0|1|0|0|0|1|0|1|0|192
郑州|二七区|3|69.23|7|0|0|1|0|0|0|1|0|0|1|69
郑州|二七区|3|91.18|21|0|0|1|0|0|0|1|0|0|1|140
郑州|二七区|5|139.93|17|0|0|1|0|0|0|1|0|1|0|203
郑州|二七区|5|73.13|6|0|0|1|0|1|0|0|0|0|1|60
郑州|二七区|3|87.98|34|0|0|1|0|0|1|0|0|1|0|144
郑州|二七区|3|81.33|6|0|0|1|0|0|1|0|0|0|1|1098
郑州|二七区|3|101.06|12|0|0|1|0|0|1|0|0|0|1|109
郑州|二七区|6|147.51|7|0|0|1|0|0|1|0|0|0|1|132
郑州|二七区|6|87.85|34|0|0|1|0|0|0|1|0|1|0|105
郑州|二七区|6|115.81|31|0|0|1|0|0|0|1|0|1|0|158
郑州|二七区|6|88.25|27|0|0|1|0|0|0|1|0|1|0|132
郑州|二七区|6|89.94|28|0|0|1|0|0|1|0|1|0|0|151
郑州|二七区|2|54.38|6|0|0|1|0|0|1|0|0|0|1|46
郑州|二七区|6|132.51|6|0|0|1|0|0|1|0|0|0|1|148
郑州|二七区|6|89.32|29|0|0|1|0|0|0|1|0|1|0|1305
郑州|二七区|6|114.36|6|0|0|1|0|0|1|0|0|0|1|1275
郑州|二七区|6|121.35|26|0|0|1|0|1|0|0|0|0|1|165
郑州|二七区|5|88.12|27|0|0|1|0|0|1|0|0|0|1|111
郑州|二七区|5|77.42|5|0|0|1|0|0|1|0|0|0|1|56
郑州|二七区|5|111.84|18|0|0|1|0|0|1|0|0|1|0|122
郑州|二七区|6|111.84|17|0|0|1|0|0|0|1|0|1|0|156
郑州|二七区|6|111.84|6|0|0|1|0|0|0|1|0|0|1|156
郑州|二七区|6|122.65|28|0|0|1|0|0|0|1|0|0|1|1638
郑州|二七区|6|141.95|11|0|0|1|0|0|1|0|0|0|1|242
郑州|二七区|5|88.81|27|0|0|1|0|0|0|1|1|0|0|87
郑州|二七区|5|91.58|7|0|0|1|0|0|0|1|0|0|1|120
郑州|二七区|6|102.92|26|0|0|1|0|0|1|0|0|0|1|123
郑州|二七区|1|56.55|6|0|0|0|1|0|1|0|0|0|1|62
郑州|二七区|6|91.27|27|0|0|1|0|1|0|0|0|0|1|106
郑州|二七区|5|106.51|6|0|0|1|0|0|0|1|0|0|1|122
郑州|二七区|3|83.49|26|0|0|1|0|0|1|0|0|1|0|98
郑州|二七区|2|77.53|27|0|0|1|0|0|0|1|0|1|0|85
郑州|二七区|2|57.88|7|0|0|1|0|0|0|1|0|0|1|61
郑州|二七区|6|86.36|27|0|0|1|0|0|1|0|0|0|1|108
郑州|二七区|2|61.46|7|0|0|1|0|0|1|0|0|0|1|55
郑州|二七区|6|88.25|27|0|0|1|0|1|0|0|1|0|0|120
郑州|二七区|3|87.91|21|0|0|1|0|0|0|1|0|1|0|125
郑州|二七区|6|118.98|27|0|0|1|0|1|0|0|0|0|1|132
郑州|二七区|6|123.98|18|0|0|1|0|1|0|0|0|0|1|169
郑州|二七区|6|89.09|28|0|0|1|0|0|0|1|1|0|0|122
郑州|二七区|3|100.95|6|0|0|1|0|0|1|0|0|0|1|135
郑州|二七区|5|100.95|17|0|0|1|0|0|0|1|1|0|0|180
郑州|二七区|3|86.66|26|0|0|1|0|0|0|1|0|0|1|129
郑州|二七区|6|88.39|27|0|0|1|0|1|0|0|0|0|1|96
郑州|二七区|3|77.53|27|0|0|1|0|0|0|1|1|0|0|869
郑州|二七区|3|87.25|34|0|0|1|0|0|1|0|0|1|0|149
郑州|二七区|3|81.18|21|0|0|1|0|0|1|0|1|0|0|113
郑州|二七区|2|94.33|26|0|0|1|0|0|0|1|1|0|0|107
郑州|二七区|6|89.96|24|0|0|1|0|0|0|1|1|0|0|134
郑州|二七区|2|91.18|20|0|0|1|0|0|0|1|0|0|1|143
郑州|二七区|8|137.89|27|0|0|1|0|0|0|1|0|0|1|171
郑州|二七区|6|136.31|6|0|0|1|0|0|1|0|0|0|1|156
郑州|二七区|6|121.27|27|0|0|1|0|0|0|1|0|1|0|155
郑州|二七区|6|118.94|34|0|0|1|0|0|0|1|0|0|1|1489
郑州|二七区|6|86.35|18|0|0|1|0|0|0|1|0|0|1|109
郑州|二七区|2|69.93|1|0|0|1|0|0|1|0|0|0|1|80
郑州|二七区|6|112.15|32|0|0|1|0|0|1|0|0|1|0|154
郑州|二七区|3|82.77|34|0|0|1|0|0|0|1|0|0|1|109
郑州|二七区|3|81.84|17|0|0|1|0|0|1|0|0|0|1|100
郑州|二七区|3|89.12|28|0|0|1|0|0|1|0|0|1|0|126
郑州|二七区|6|108.94|33|0|0|1|0|0|0|1|0|1|0|192
郑州|二七区|6|90.57|33|0|0|1|0|0|1|0|0|0|1|157
郑州|二七区|1|90.57|18|0|1|0|0|0|1|0|1|0|0|48
郑州|二七区|6|132.46|34|0|0|1|0|0|0|1|0|1|0|166
郑州|二七区|2|55.43|5|0|0|1|0|0|1|0|0|0|1|36
郑州|二七区|2|55.43|5|0|0|1|0|0|1|0|0|0|1|73
郑州|二七区|6|132.28|34|0|0|1|0|0|1|0|0|0|1|169
郑州|二七区|6|118.63|32|0|0|1|0|0|1|0|0|1|0|156
郑州|二七区|1|51.94|7|1|0|0|0|0|1|0|0|0|1|54
郑州|二七区|0|40.47|24|0|0|1|0|0|0|1|1|0|0|43
郑州|二七区|0|40.47|30|0|1|0|0|0|0|1|1|0|0|72
郑州|二七区|3|88.27|34|0|0|1|0|0|0|1|0|0|1|110
郑州|二七区|5|66.87|7|0|0|1|0|0|1|0|0|0|1|58
郑州|二七区|2|55.12|6|0|0|1|0|0|1|0|0|0|1|50
郑州|二七区|6|88.79|30|0|0|1|0|0|0|1|0|1|0|1177
郑州|二七区|2|54.85|5|0|0|1|0|0|1|0|0|0|1|62
郑州|二七区|3|72.74|18|0|0|1|0|0|0|1|1|0|0|116
郑州|二七区|3|60.11|7|0|0|1|0|0|1|0|1|0|0|59
郑州|二七区|3|110.35|19|0|0|1|0|0|1|0|0|0|1|122
郑州|二七区|6|129.94|33|0|0|1|0|0|1|0|0|1|0|188
郑州|二七区|2|58.19|7|0|0|1|0|0|1|0|1|0|0|738
郑州|二七区|2|99.33|7|0|0|1|0|1|0|0|0|0|1|85
郑州|二七区|3|88.46|18|0|0|1|0|0|0|1|0|0|1|110
郑州|二七区|3|88.49|34|0|0|1|0|0|0|1|0|0|1|105
郑州|二七区|6|89.61|33|0|0|1|0|0|0|1|0|0|1|158
郑州|二七区|2|51.64|7|0|0|1|0|0|1|0|0|0|1|45
郑州|二七区|2|61.79|17|0|0|1|0|0|1|0|1|0|0|108
郑州|二七区|3|97.22|7|0|0|1|0|0|1|0|0|0|1|106
郑州|二七区|3|94.19|28|0|0|1|0|0|1|0|0|0|1|103
郑州|二七区|2|67.52|31|0|0|1|0|1|0|0|0|0|1|83
郑州|二七区|6|123.12|28|0|0|1|0|1|0|0|0|0|1|164
郑州|二七区|2|65.25|33|0|1|0|0|0|0|1|0|0|1|100
郑州|二七区|6|89.93|31|0|0|1|0|1|0|0|1|0|0|122
郑州|二七区|2|75.39|18|1|0|0|0|0|0|1|1|0|0|75
郑州|二七区|3|82.54|31|0|0|1|0|0|1|0|0|1|0|113
郑州|二七区|2|66.87|6|0|0|1|0|0|0|1|0|0|1|61
郑州|二七区|2|82.72|33|0|0|1|0|0|1|0|0|0|1|95
郑州|二七区|2|60.11|7|0|0|1|0|0|1|0|0|0|1|63
